serial,production_date,shipment_part_serial
10418D1506194890,2015年/第6週,BC4DFB65A990
10418D1506117889,2015年/第6週,BC4DFB65AFB0
10418D1506118971,2015年/第6週,BC4DFB65AD00
10418D1506116095,2015年/第6週,BC4DFB658D60
10418D1506118943,2015年/第6週,BC4DFB6598E0
10418D1506116086,2015年/第6週,BC4DFB65F850
10418D1506116077,2015年/第6週,BC4DFB658DC0
10418D1506116102,2015年/第6週,BC4DFB658CE0
10418D1506118946,2015年/第6週,BC4DFB6591C0
10418D1506119561,2015年/第6週,BC4DFB659F60
10418D1506117950,2015年/第6週,BC4DFB659890
10418D1506117905,2015年/第6週,BC4DFB6597D0
10418D1506120405,2015年/第6週,BC4DFB659680
10418D1506113316,2015年/第6週,BC4DFB6595A0
10418D1506119553,2015年/第6週,BC4DFB659910
10418D1506119560,2015年/第6週,BC4DFB659720
10418D1506113325,2015年/第6週,BC4DFB6594F0
10418D1506115722,2015年/第6週,BC4DFB659920
10418D1506118977,2015年/第6週,BC4DFB659860
10418D1506118955,2015年/第6週,BC4DFB659150
10418D1506116120,2015年/第6週,BC4DFB65B460
